email,name,gender,age,birthday,shopify_id,first_name,last_name,currency,last_order_id,last_order_name,orders_count,total_spent,phone,account_state,tags,address1,address2,city,company,country,country_code,country_name,state,postal_code,state_code,created_at,designation,industry,description,anniversary_date,added_at,updated_at,source,last_open,last_click,timezone,email_marketing_consent,sms_marketing_consent,firstOrderDate
ashwin++1@mailmodo.com,AB+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++2@mailmodo.com,AB+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++3@mailmodo.com,AB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++4@mailmodo.com,AB+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++5@mailmodo.com,AB+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++6@mailmodo.com,AB+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++7@mailmodo.com,AB+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++8@mailmodo.com,AB+8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++9@mailmodo.com,AB+9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++10@mailmodo.com,AB+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++11@mailmodo.com,AB+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++12@mailmodo.com,AB+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++13@mailmodo.com,AB+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++14@mailmodo.com,AB+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++15@mailmodo.com,AB+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++16@mailmodo.com,AB+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++17@mailmodo.com,AB+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++18@mailmodo.com,AB+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++19@mailmodo.com,AB+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++20@mailmodo.com,AB+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++21@mailmodo.com,AB+21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++22@mailmodo.com,AB+22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++23@mailmodo.com,AB+23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++24@mailmodo.com,AB+24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++25@mailmodo.com,AB+25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++26@mailmodo.com,AB+26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++27@mailmodo.com,AB+27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++28@mailmodo.com,AB+28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++29@mailmodo.com,AB+29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++30@mailmodo.com,AB+30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++31@mailmodo.com,AB+31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++32@mailmodo.com,AB+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++33@mailmodo.com,AB+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++34@mailmodo.com,AB+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++35@mailmodo.com,AB+35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++36@mailmodo.com,AB+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++37@mailmodo.com,AB+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++38@mailmodo.com,AB+38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++39@mailmodo.com,AB+39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++40@mailmodo.com,AB+40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++41@mailmodo.com,AB+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++42@mailmodo.com,AB+42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++43@mailmodo.com,AB+43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++44@mailmodo.com,AB+44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwin++45@mailmodo.com,AB+45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
